T0;ALFA;BETA;pt3;ps4;dp14;dp24;dp34;K1;K2;K3;K4;K5;K6;status
300.96;-10.6;0;103117.85;100319.42;-80.56;-52.24;-11.76;789.86;467.14;608.02;0.92;-3.98;-11.12;1
301.02;-9.58;0;103112.41;100313.42;-81.14;-52.89;-11.99;773.5;415.45;571.84;1.22;-2.03;-28.25;1
301.08;-8.6;0;103108.19;100306.81;-81.43;-53.2;-12.34;744.24;354.58;534.9;-1.04;0.8;-22.51;1
301.1;-7.55;0;103105.77;100298.41;-81.01;-52.44;-12.27;621.78;285.81;499.71;1.78;3.04;-24.84;1
301.13;-6.49;0;103102.16;100295.41;-80.76;-52.25;-11.58;413.75;233.04;445.25;1.7;4.36;-23.18;1
301.19;-5.44;0;103093.7;100285.8;-81.18;-53.16;-12.48;214.78;166.96;391.5;3.08;3.8;-23.99;1
301.22;-4.4;0;103094.91;100287;-80.84;-52.71;-12.29;-62.87;155.47;323.31;2.72;0.6;-24.61;1
301.23;-3.32;0;103094.3;100286.4;-81.76;-53.14;-12.92;-363.24;150.62;262.4;1.89;0.84;-27.04;1
301.25;-2.24;0;103091.89;100282.8;-82.29;-53.45;-13.27;-659.81;147.38;194.53;0.57;1.33;-25.35;1
301.29;-1.18;0;103095.52;100285.2;-81.95;-53.24;-12.96;-956.38;145.75;128.79;1.27;2.05;-25.53;1
301.33;-0.1;0;103094.91;100286.4;-81.72;-52.88;-13.05;-1259.76;147.33;63.86;0.47;1.85;-26.08;1
301.35;0.97;0;103095.52;100286.4;-82.66;-53.46;-13.57;-1569.2;150.28;-4.04;0.19;0.74;-24.89;1
301.38;2.04;0;103094.91;100286.4;-82.41;-53.44;-13.64;-1864.99;154.63;-70.33;-0.1;0.56;-20.76;1
301.41;3.11;0;103094.3;100287.6;-81.78;-53.32;-13.35;-2155.48;162.65;-135.86;-0.37;1.32;-22.57;1
301.43;4.18;0;103094.91;100286.4;-82.1;-53.39;-13.7;-2458.86;167.9;-205.7;-1.66;0.22;-23.94;1
301.45;5.24;0;103094.91;100288.8;-82.89;-54.11;-15.19;-2745.55;179.14;-270.94;-1.92;0.99;-20.85;1
301.48;6.31;0;103096.72;100288.2;-83.1;-53.8;-15.23;-3036.79;190.61;-340.75;-2.68;1.99;-15.6;1
301.51;7.4;0;103097.33;100288.2;-82.63;-53.71;-14.43;-3325.74;206.22;-407.56;-2.92;1.63;-15.52;1
301.53;8.45;0;103095.52;100288.2;-82.64;-53.61;-14.64;-3601.82;221.84;-462.95;-1.68;2.18;-11.13;1
301.56;9.52;0;103095.52;100288.2;-83.01;-53.61;-14.49;-3877.14;238.15;-534.91;-2.93;2.98;-6.69;1
301.7;10.59;0;103097.33;106284.48;-83.79;-54.67;-15.88;-4148.66;259.05;-599.93;-3.17;1.96;-7.64;1
301.61;11.65;0;103098.53;100288.8;-83.27;-54.48;-15.39;-4400.49;280.89;-654.77;-3.93;2.33;-7.35;1
301.65;12.7;0;103095.52;100290.6;-83.54;-54.19;-15.76;-4611.39;306.44;-712.75;-5.71;2.29;-3.68;1
301.68;13.74;0;103099.13;100290.6;-82.79;-54.1;-15.76;-4811.27;336.64;-766.65;-7.04;2.29;5.08;1
301.73;14.75;0;103096.72;100294.8;-83.71;-54.66;-15.87;-4871.3;424.09;-784.43;-20.83;6.95;-6.17;1
301.74;15.71;0;103101.55;100303.81;-82.82;-54.2;-15.7;-4661.6;512.29;-811.33;-16.58;8.18;-2.48;1
301.77;16.69;0;103103.36;100308.61;-82.8;-54.2;-15.51;-4736.09;565.98;-855.39;-19.34;5.14;-15.31;1
301.79;17.73;0;103107.59;100312.81;-82.64;-53.75;-15.06;-4781.75;628.69;-887.01;-25.67;-1.32;13.8;1
302.53;-0.35;-19.99;103070.76;100281;-81.76;-51.16;-12.32;-1015.33;76.89;7.8;604.69;-207.42;350.85;1
302.59;-0.35;-18;103070.76;100277.39;-82.52;-52.37;-13.57;-1047.33;83.9;10.56;534.1;-200.32;308.47;1
302.66;-0.34;-15.99;103073.17;100274.99;-81.84;-51.43;-12.49;-1087.65;97.79;13.19;452.92;-185.36;276.51;1
302.7;-0.33;-14.01;103071.36;100279.8;-81.98;-52.34;-13.31;-1121.91;110.33;22.33;383.85;-172.73;248.22;1
302.73;-0.33;-12;103071.97;100278.59;-82.01;-52.58;-13.4;-1160.73;121.95;32.7;324.89;-151.84;205.68;1
302.76;-0.32;-9.99;103078.61;100281.59;-82.3;-52.5;-13.4;-1198.8;130.13;43.97;262.88;-126.59;170.4;1
302.8;-0.32;-8.01;103073.17;100280.4;-81.62;-52.59;-13.05;-1213.39;133.97;48.88;203.37;-99.71;134.06;1
302.82;-0.31;-6;103073.77;100282.2;-82.04;-52.88;-13.33;-1231.01;139.43;50.28;150.95;-74.44;97.6;1
302.89;-0.31;-4.01;103074.38;100281.59;-81.73;-52.54;-13.38;-1250.15;144.21;50.63;105.6;-52.63;53.14;1
302.91;-0.31;-1.99;103077.4;100284.6;-81;-52.7;-13;-1256.41;146.21;50.59;42.05;-21.6;19.54;1
302.94;-0.31;0;103071.97;100279.2;-81.29;-52.53;-12.97;-1258.89;148.95;50.08;1.74;0.9;-20.17;1
302.96;-0.31;2.01;103071.36;100279.8;-81.21;-53.05;-13.42;-1254.56;146.15;50;-52.24;27.55;-60.82;1
302.99;-0.31;4;103073.77;100281.59;-81.11;-53.24;-13.33;-1243.41;144.07;51.64;-97.64;45.68;-100.24;1
303.02;-0.32;6;103068.95;100277.39;-81.5;-53.62;-13.54;-1227.7;141.26;51.49;-161.72;78.79;-138.49;1
303.03;-0.32;8;103065.93;100274.39;-81.32;-53.85;-13.75;-1202.92;136.43;48.27;-209.65;99.24;-178.77;1
303.06;-0.33;9.99;103065.93;100274.99;-80.8;-53.18;-12.66;-1181.16;130.42;39.95;-270.2;127.75;-216.56;1
303.07;-0.33;12.02;103062.91;100273.8;-80.52;-53.08;-13.04;-1141.98;123.28;35.16;-331.79;154.66;-254.86;1
303.1;-0.34;14.01;103059.89;100273.19;-80.47;-53.46;-13.25;-1093.71;110.17;24.73;-393.9;170.53;-286.96;1
303.12;-0.35;16;103064.72;100276.2;-79.79;-53.33;-13.04;-1054.53;102.32;18.22;-463.57;181.12;-331.58;1
303.13;-0.36;18;103062.3;100278;-80.31;-53.42;-13.6;-1025.18;99.08;17.05;-526.16;186.63;-363.52;1
303.15;-0.36;19.99;103065.33;100281.59;-80.06;-53.83;-13.88;-979.94;88.02;15.99;-598.89;205.04;-397.91;1
301.2;-0.2;-20.02;103573.63;100757.68;-84.06;-53.29;-14.51;-1702.68;97.99;20.39;609.2;-200.73;319.7;1
301.28;-0.19;-18;103571.82;100752.88;-82.84;-52.8;-14.05;-1748.52;104.24;24.79;537.59;-196.92;289.43;1
301.33;-0.18;-15.99;103572.42;100751.08;-83.28;-52.92;-13.55;-1802.68;117.12;30.16;458.44;-184.12;253.47;1
301.4;-0.17;-14.01;103567.59;100749.88;-83.05;-53.41;-13.98;-1849.27;131.62;36.56;381.81;-168.31;222.32;1
301.46;-0.16;-12;103569.41;100747.48;-83.45;-53.67;-14.23;-1903.44;142.46;49.04;313.25;-148.4;189.68;1
301.52;-0.15;-9.99;103563.98;100744.47;-82.51;-53.3;-13.85;-1957.63;150.78;60.66;249.73;-123.21;155.86;1
301.56;-0.15;-8.02;103565.18;100743.88;-83.5;-53.75;-14.19;-1993.63;156.37;64.09;194.28;-99.86;119.53;1
